,term_id,sign_score,level,annotation_gene,start_time,end_time,geneSize,time_size
156,168648,0.0365,1,"827307,818069,824970,829995,841468,832070,816768,841652,831472,818899,826914,831528,838079,823831,835398,836043,820827,838807,841558,822132,838851",86,95,21,10
157,69179,0.0358,1,"841447,818822,818899,820775,826914,828884,829995,830101,831122,831528,835398",65,75,11,11
158,69186,0.0358,1,"841447,818822,818899,824970,826914,828884,829995,830101,831122,831528,835398",65,75,11,11
159,69325,0.0358,1,"842103,818822,818899,824970,826914,828884,829995,830101,831122,831528,835398",65,75,11,11
160,38765,0.0356,1,"828884,818343,833471,834232,835355,818731,816545,837974,838455,820741,839566,818599,819107,839433,817221",60,69,15,10
161,148304,0.0356,1,"827001,818899,818822,832247,830101,838851,838672,823831,835398,818069,836043,824524,832070,827307,826914,822517,838807,824970,841892,829995,816768,841534,831472,841558,831528,822132,820827,835431,841468,843903",80,89,30,10
162,148305,0.0356,1,"827001,818899,818822,832247,830101,838851,838672,823831,835398,818069,836043,824524,832070,827307,826914,822517,838807,824970,841892,829995,816768,841534,831472,841558,831528,822132,820827,835431,841468,838079",80,89,30,10
163,188055,0.0356,1,"830699,837040,818300,816651,839930,824524,836393,830128,822132,841920,833471,829966,814643,839392,818633",97,106,15,10
164,129695,0.0354,1,"838807,841468,841534,841892,842103,818069,820827,822132,823831,824970,829995,830101,831472,831528,832070,835398,835431,836043",75,85,18,11
165,179619,0.035,1,"816270,837778,818343,844343,831861,832057,844010,817221,837974,818599,3770591,821143,843095,817499,817620,839433,820041,838259,816545,819107",90,99,20,10
166,162464,0.035,1,"839433,816270,816545,817499,817620,818343,819107,820041,831861,830754,832057",84,96,11,13
167,44056,0.0349,1,"837974,817499,817620,816545,839566,828489,820041,819107,837996,818343,821143,834232,843095,833471,838455,839433,835355,3770591,818731,820741,817221",61,70,21,10
168,188858,0.0348,1,"838807,838851,841468,841558,843903,816768,818822,821657,823831,826914,827307,832247,835320,836043",98,110,14,13
169,38780,0.0348,1,"818822,824970,843903,838984,827307,830754,841558,838807,829995,830128,841534,831472,832070,822132,842103,836043,822517,830101,838851,841447,835398,826914,835320",60,69,23,10
170,38784,0.0348,1,"838984,824970,843903,829995,832070,838807,827307,841558,842103,830754,822517,836043,830101,838851,835398,818899,826914,841447,831528,835320,825208,820775,831122",60,69,23,10
171,38795,0.0348,1,"838151,832070,835398,838807,818899,841447,826914,843903,830101,825208,824970,829995,831528,820775,831122,827307,830754,822517,841558,838851,842103,836043,835320",60,69,23,10
172,188611,0.0346,1,"838250,838672,841467,841892,842833,843110,843827,844230,817620,818316,820775,820827,822132,833471",98,108,14,11
173,50283,0.0345,1,"835320,827001,818899,835398,835375,824970,840894,820775,836043,839869,837555,830754,826914,822517,816936,830101,841447,825208,838151,829995,816768,831528,838851,842103,831122,838807,841558,827307",62,71,28,10
174,188610,0.0341,1,"838362,838250,838672,838779,841467,841892,842833,843110,843827,844230,816692,817620,818316,820775,820827,822132",98,108,16,11
175,186729,0.0337,1,"838362,838250,838672,838779,841892,842833,844230,818316,827727",95,105,9,11
176,33340,0.0333,1,"827307,843903,836043,824970,829995,841558,842103,822517,838807,830754,830128,838851,835320,826914,841447,831528,818899,835398,831122",59,68,19,10
177,100007,0.0333,1,"829995,831472,822517,836043,828884,841892,832070,838807,824970,820827,841558,822132,830101,841468",70,79,14,10
178,133954,0.0333,1,"816270,837974,839433,816545,819107,823859,818343,828489,3770591,817499,839642,838362,833471,820041,817620,839566,843095,837996",76,85,18,10
179,38785,0.0333,1,"838984,824970,843903,829995,832070,838807,827307,841558,842103,830754,822517,836043,830101,838851,835398,818899,826914,841447,831528,835320,830128,841534,831472,822132",60,69,24,10
180,175062,0.0333,1,"816270,837778,844343,832057,818343,816545,831861,819107,839433,844010,3770591,820041,817499,817620",88,97,14,10
181,44050,0.0333,1,"816270,833979,831151,831377,828489,828884,823859,818599",61,70,8,10
182,188056,0.0333,1,"838779,818316,827727,844230,842833,838672,820827,843747,838250,841892,820775",97,106,11,10
183,112914,0.0333,1,"835398,818822,831528,830101,824970,826914",72,81,6,10
184,86671,0.0333,1,"828884,822517,836043,838807,822132,824970,841468,842103,830101",68,77,9,10
185,186627,0.0333,1,"816270,818343,832057,837778,844343,834212,831861,838259,817499,816545,839566,843095,820041,839433,819107,837996",95,104,16,10
186,187468,0.0333,1,"843110,838672,838779,841467,838250,818316,827727,843827,841892,844230,820827,842833,838362,816692",96,105,14,10
187,124310,0.0333,1,"823831,838807,841534,841892,824970,822517,836043,820827,831528,830101",74,83,10,10
188,93105,0.0333,1,"818822,830101,842103,838807,836043,831528,820827,828884,841558",69,78,9,10
189,93106,0.0333,1,"818822,830101,842103,838807,836043,831528,820827,840894,820775",69,78,9,10
190,62948,0.0333,1,"3768499,837974,839433,833979,817499,834232,843596,817620,818343,3770591,832057,843095,821143,835355,828489,838455,831861,816545,839566,831151,844010,819107,820741,820041,833471,818731,817221,816270,831910,837778,843810,841984,823859,817646,818599,831377,844343,837996",64,73,38,10
191,69319,0.0328,1,"838807,838851,841558,842103,843903,818822,820827,822132,822517,829995,830101,836043",65,75,12,11
192,56333,0.0323,1,"837974,839433,3770591,838455,833979,843596,832057,835355,828489,831151,819107,833471,818731,817221,816270,843810,816546,844010,831377,837996,817499,817620,816545,839566,820041,818343,843095,844343,820741,834232,821143,831861",63,72,32,10
193,50235,0.0322,1,"843903,818822,839869,822132,816936,824970,829995,841558,830101,838807,835320,836043,818899,835398,830754,837555,827307,826914,835375,822517,841447,825208,838151,840894,816768,842103,831528,820775,831122,838851",62,71,30,10
194,44079,0.032,1,"841447,818899,827830,831528,820775,818672,837179,826914,838151,835398,841558,832070,830754,836043,822517,843903,838807,824970,829995,831472,830101,842103,827307,835320,838851",61,70,25,10
195,165277,0.0318,1,"823831,835398,827307,841558,838807,820827,824524,835431,824970,829995,816768,818069,831472,832070,841468,818822,838079,832247,831528,818899,826914,841652",85,94,22,10
196,188553,0.0315,1,"841920,816651,818300,831910,837040,839930,844283,824524,836393,843747,830699,839642,830128,814643,829966,840006,839392,818633",98,107,18,10
197,112887,0.0311,1,"829995,831472,824970,830101,826914,841892,841558,832070,836043,822517,820827,828884,838807,822132,841468",72,81,15,10
198,184444,0.031,1,"816270,837778,832057,844343,818343,818599,817620,3770591,838259,843095,839433,816545,819107,831861",93,102,14,10
199,56357,0.031,1,"818822,842103,836043,838807,824970,829995,830101,827307,822132,838851,841468,831528,835398,831122",63,72,14,10
200,56334,0.0309,1,"837974,839433,3770591,838455,833979,843596,832057,835355,828489,831151,819107,833471,818731,817221,838362,817499,817620,816545,839566,820041,818343,834232,821143,831861,820741,843095,837996",63,72,27,10
201,112842,0.0307,1,"816270,837778,831832,821143,828489,816545,817646,830754,844010,819107,820741,833471,818633,817221,837974,818731,817499,832057,831861,820041,817620,844343,838362,818343,839433",72,81,25,10
202,188064,0.0306,1,"820827,820775,838672,843747,841892,829966,818316,838250,844230,842833,818731,827727",97,106,12,10
203,69142,0.0303,1,"828884,831528,818899,826914,831122,838807,818822,829995,838851,842103,830101",65,74,11,10
204,188646,0.0303,1,"838807,838851,841468,816768,818822,821657,823831,831888",98,108,8,11
205,162480,0.0299,1,"839433,837778,844010,844343,816270,816545,818343,819107,820041,831861,830754,832057",84,96,12,13
206,44103,0.0298,1,"822132,818822,832070,831472,843903,838807,824970,836043,829995,842103,822517,830754,830101,839869,816936,837555,841558,838851,835320",61,70,19,10
207,56335,0.0295,1,"837974,839433,3770591,838455,833979,843596,832057,835355,828489,831151,819107,833471,818731,817221,838362,817499,817620,816545,839566,820041,818343,834232,821143,831861,820741,3768499",63,72,26,10
208,51032,0.0294,1,"839433,839566,837974,838455,3768499,816270,816545,817221,817499,818343,818731,819107,820741,828489,833471,834232,835355",62,75,17,14
209,33337,0.0292,1,"818822,824970,843903,829995,841468,830128,841534,838851,835320,826914,841447,831528,820775,838021,839930,816936",59,68,16,10
210,124315,0.0292,1,"839642,817499,833471,3770591,843095,838362,817620,837996",74,83,8,10
211,152045,0.0289,1,"816270,832057,831861,816545,837974,3770591,823859,844010,833471,817620,839433,820041,817499,818343,819107",81,90,15,10
212,172127,0.0289,1,"838079,838807,841447,841468,841558,843903,816768,818069,818822,820827,823831,824970,826914,827307,829995,831472,831528,832070,832247,835398,836043",87,97,21,11
213,56558,0.0287,1,"839433,839566,837778,837974,838455,839642,841984,843095,843596,843810,844010,844343,816270,816545,816546,817221,817499,817620,817646,818343,818633,818731,819107,821143,820041,820741,823859,828489,3770591,831861,831910,831151,831377,832057,832454,833471,833979,834232,835355",63,73,39,11
214,165271,0.0286,1,"816270,818343,831861,832057,816545,844010,837778,844343,837974,3770591,818731,817221,818599,836393,823859,828489,817499,820041,817620,819107,839433",85,94,21,10
215,179627,0.0286,1,"823831,818822,828884,820827,841468,816768,831472,818069,835398,832247,841652,832070,826914,829995,833471,827307,841558,843903,838807,836043,822517",90,99,21,10
216,118755,0.0286,1,"816270,837778,830754,819107,817646,831832,816545,837974,828577,833471,844343,820041,817499,844010",73,82,14,10
217,62923,0.0286,1,"818822,832070,824970,829995,830101,827307,836043,822517,843903,838807,842103,841558,822132,838851",64,73,14,10
218,33350,0.0283,1,"843903,824970,829995,830128,835320,841447,831528,826914,835398,818899,831122,835375,839930,824699,816936,825208,838151,838021,820775,838851",59,68,20,10
219,129620,0.0281,1,"839433,837974,839642,816270,816545,817499,817620,818343,818731,819107,820041,823859,3770591,833471",75,85,14,11
