term_id	sign_score	annotation_gene	annotation_window	geneSize	window_size
187461	0.1036	['AT3G10470', 'AT4G31560', 'AT5G20140', 'AT1G54580', 'AT5G15250', 'AT5G39830', 'AT3G26580', 'AT3G47060', 'AT1G54050', 'AT1G66670', 'AT2G30950', 'AT1G18730', 'AT1G72640', 'AT1G42960', 'AT5G03455', 'AT1G67280', 'AT1G10170', 'AT4G35770', 'AT4G39460', 'AT2G27290', 'AT1G17850', 'AT5G42765', 'AT3G55330', 'AT2G01918', 'AT5G53170', 'AT1G14590', 'AT4G24750', 'AT3G10130', 'AT4G01050', 'AT5G13120', 'AT1G29920', 'AT5G52780', 'AT1G06690', 'AT4G13670', 'AT4G20820', 'AT4G39960', 'AT3G22690', 'AT2G40760', 'AT5G12470', 'AT3G57680', 'AT2G43010', 'AT3G60370', 'AT1G55370', 'AT3G15110', 'AT2G42975', 'AT5G52970', 'AT1G07510', 'AT1G50250', 'AT1G74710', 'AT2G20270', 'AT3G58010', 'AT4G38380', 'AT5G16660', 'AT5G23890', 'AT1G15140', 'AT2G24020', 'AT1G15820', 'AT5G16150', 'AT5G19500', 'AT3G24590', 'AT2G42220', 'AT3G46780', 'AT2G35040', 'AT4G16155', 'AT4G13010', 'AT1G52220', 'AT3G28850', 'AT1G75690', 'AT2G22360', 'AT1G51110', 'AT5G21430', 'AT1G51350', 'AT5G59250', 'AT1G50460']	[47]	74	1
24563	0.1033	['AT1G03160', 'AT1G14150', 'AT1G18730', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G15110', 'AT4G37925']	[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	10	10
125815	0.1029	['AT1G14150', 'AT2G17630', 'AT2G20260', 'AT2G26800', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G62720']	[25, 26, 27, 28, 29, 30, 31, 32, 33]	9	9
135235	0.1026	['AT1G14150', 'AT2G17630', 'AT2G26800', 'AT2G40100', 'AT3G01440', 'AT3G47060', 'AT4G23890', 'AT4G37925']	[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	8	13
38769	0.1026	['AT1G14150', 'AT2G01918', 'AT2G20260', 'AT1G03160', 'AT5G42270', 'AT2G37660', 'AT5G35170', 'AT1G18730', 'AT5G52780', 'AT2G41330', 'AT1G02560', 'AT3G15110', 'AT2G26800']	[11]	13	1
23045	0.1026	['AT1G14150', 'AT2G37660', 'AT3G15110', 'AT2G26800', 'AT4G37925', 'AT2G29500', 'AT2G30695', 'AT2G20260', 'AT1G67700', 'AT1G18730', 'AT3G01440', 'AT1G03160', 'AT1G14345']	[8]	13	1
23046	0.1026	['AT1G14150', 'AT2G37660', 'AT3G15110', 'AT2G26800', 'AT1G02560', 'AT1G67700', 'AT2G29500', 'AT2G30695', 'AT1G14345', 'AT1G18730', 'AT2G20260', 'AT3G01440', 'AT1G03160']	[8]	13	1
28160	0.1026	['AT4G27700', 'AT1G67700', 'AT2G29500', 'AT2G30695', 'AT2G20260', 'AT1G03160', 'AT2G37660', 'AT1G14150', 'AT1G18730', 'AT3G15110', 'AT2G41330', 'AT3G01440', 'AT1G14345']	[9]	13	1
162462	0.1019	['AT1G02560', 'AT1G16880', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G37660', 'AT2G44990', 'AT3G08920', 'AT5G08540']	[35, 36, 37, 38]	9	4
16287	0.1007	['AT1G03160', 'AT1G14150', 'AT1G18730', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT3G01440', 'AT3G15110']	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	8	12
