Term_id	Sign_score	Gene_number	Time_point_length	leaf	Trend1	Trend2	Trend3
86970	0.0424	5	11	1	0	1	1
162930	0.0424	11	15	0	1	1	1
143896	0.0423	9	28	0	0	1	1
63185	0.0422	28	11	0	0	0	1
188905	0.0421	13	14	1	1	0	1
28761	0.0421	13	14	1	0	0	1
24621	0.0421	5	19	1	0	0	1
125982	0.0421	5	19	1	1	1	1
33468	0.0421	18	11	1	0	0	0
125637	0.042	7	17	1	1	1	1
187508	0.042	13	11	0	1	1	1
188087	0.042	13	11	0	1	1	1
165284	0.0417	8	10	1	1	1	0
39089	0.0417	20	12	1	0	0	1
39092	0.0417	18	12	1	0	0	1
139379	0.0417	5	24	1	1	1	0
106952	0.0417	8	12	1	1	1	1
44119	0.0417	16	10	1	1	1	1
176637	0.0417	8	19	1	1	1	1
153577	0.0417	8	20	0	1	1	0
186805	0.0417	8	12	1	0	1	1
125145	0.0417	8	14	1	0	0	1
63306	0.0417	28	12	1	0	0	1
129892	0.0414	13	13	0	0	0	1
60600	0.0414	5	29	1	1	0	1
28294	0.0413	11	11	1	0	0	0
168641	0.0413	21	10	0	0	0	1
87926	0.0413	7	15	0	0	0	1
163342	0.0412	10	17	0	1	1	1
29489	0.0412	9	18	0	0	0	1
38847	0.0411	14	11	0	0	0	1
129621	0.0411	14	11	0	1	0	0
148301	0.0411	30	10	0	0	0	0
148302	0.0411	30	10	1	0	0	0
124395	0.041	13	10	0	0	0	1
24612	0.0409	6	19	1	0	0	1
58477	0.0409	12	19	0	0	0	1
142261	0.0409	11	20	0	0	0	1
125143	0.0408	7	14	1	0	0	0
168879	0.0407	15	12	0	0	0	0
50239	0.0407	18	10	0	0	0	1
159093	0.0407	15	12	0	1	1	1
133905	0.0405	8	36	0	1	1	1
179673	0.0404	12	11	0	1	0	1
179675	0.0404	12	11	1	1	0	1
152163	0.0404	11	12	1	1	1	0
152170	0.0404	11	12	0	1	1	0
87893	0.0404	11	15	1	0	1	1
63195	0.0404	11	12	1	0	0	0
58230	0.0403	18	17	0	0	0	1
39898	0.0403	15	16	0	0	0	1
39899	0.0403	15	16	0	0	0	1
184821	0.0401	9	12	1	0	1	1
28430	0.0401	18	12	0	0	0	0
169869	0.04	10	15	1	1	1	1
184449	0.04	15	10	0	1	1	0
184450	0.04	15	10	0	1	1	0
129700	0.0398	16	11	1	0	0	1
70405	0.0398	19	15	0	0	0	1
133979	0.0397	26	10	0	0	0	0
63184	0.0397	29	11	0	0	0	1
39093	0.0397	21	12	1	0	0	1
16277	0.0397	8	21	0	0	0	1
187844	0.0397	6	14	1	0	0	1
165278	0.0396	16	10	1	1	1	1
125420	0.0396	10	16	0	0	0	1
51342	0.0395	9	15	1	0	1	1
127636	0.0395	5	27	1	1	0	1
165642	0.0394	13	13	1	1	1	0
165643	0.0394	13	13	1	1	1	0
172121	0.0394	20	11	1	1	1	0
185832	0.0394	10	11	0	1	1	1
185833	0.0394	10	11	1	1	1	1
186662	0.0394	11	10	1	1	1	1
124317	0.0394	11	10	0	0	0	1
152039	0.0394	11	10	0	1	1	0
81683	0.0394	9	16	1	1	1	1
40136	0.0392	12	17	0	0	1	1
74395	0.0392	17	10	0	0	0	1
74408	0.0392	34	10	1	0	0	1
45638	0.0392	7	17	1	0	0	0
173734	0.0391	9	18	0	1	1	0
16457	0.039	7	22	1	0	1	0
38820	0.039	7	11	0	0	0	1
173005	0.039	11	14	1	1	1	1
100006	0.0389	12	10	0	0	0	0
167243	0.0389	9	20	1	1	1	1
5579	0.0389	6	10	1	0	0	0
6664	0.0389	5	24	1	0	0	1
141870	0.0389	10	18	1	0	0	1
112885	0.0389	12	10	1	0	0	0
19005	0.0389	6	10	1	1	0	0
19006	0.0389	6	10	0	1	1	1
58750	0.0389	12	20	1	1	1	1
93039	0.0389	12	10	1	1	1	1
119626	0.0389	5	12	1	1	1	1
8655	0.0387	7	59	1	0	0	1
94138	0.0387	8	14	0	1	1	1
172038	0.0386	19	10	1	1	1	1
125983	0.0386	5	19	1	1	1	1
132113	0.0385	9	26	1	1	1	1
6132	0.0385	13	20	1	0	0	0
6133	0.0385	13	20	1	0	0	0
183440	0.0385	10	13	1	1	0	1
87593	0.0385	13	14	0	0	0	1
137946	0.0382	6	16	0	1	1	1
87316	0.0382	8	12	0	0	0	0
28440	0.0382	16	12	1	0	0	0
56563	0.0381	31	11	0	0	0	1
159016	0.0381	31	11	0	1	0	1
74399	0.0381	14	10	1	0	0	0
45108	0.0381	7	15	0	0	0	0
47728	0.0381	5	28	1	1	1	0
45099	0.0379	17	15	0	0	0	1
38935	0.0379	20	11	1	0	0	1
141097	0.0379	8	11	0	1	0	1
44201	0.0379	24	11	1	0	0	0
44317	0.0379	24	11	1	0	0	0
177480	0.0379	12	11	0	1	1	0
56759	0.0379	11	12	0	1	1	1
188137	0.0379	8	11	1	1	1	0
58478	0.0378	13	19	0	0	0	1
187469	0.0378	15	10	0	1	0	0
175248	0.0377	14	12	0	0	0	0
59782	0.0377	5	23	1	1	0	1
24758	0.0375	8	20	0	1	1	0
