term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
35862	0.0525	2	839566,837974,838455,843095,816545,817499,817620,818343,818731,819107,821143,820041,820741,828884,3770591,833471,834232,835355	60	71	18	12
114455	0.0524	7	838807,841468,841558,818069,820827,822132,822517,823831,827307,831472,832070,835398,836043	76	98	13	23
155955	0.0524	7	840894,841843,820211,822266,829283,833979,835398	92	111	7	20
120851	0.0522	6	838807,838851,841558,843903,820827,822132,822517,827307,828884,836043	78	100	10	23
65735	0.052	1	837996,839433,839566,834232,817620,820041,843095,818343,838362,816270,817499,816545,831151,844010,821143,837974,832057,828489,819107,820741,833471,3770591,844343,831861,817221	66	75	25	10
26325	0.0519	2	839566,837974,838455,843095,816545,817499,817620,821143,820741,828884,3770591	58	71	11	14
139985	0.0519	1	816270,837778,818343,844343,832057,831861,816545,844010,820041,837974,818599,3770591,838362,817499,838259,817620,839433,819107	85	94	18	10
139988	0.0519	1	816270,837778,818343,844343,832057,831861,816545,844010,820041,837974,818599,3770591,817221,817620,817499,838259,819107,839433	85	94	18	10
109431	0.0516	3	839433,838362,839566,817499,817620,818343,819107	75	86	7	12
143091	0.0516	2	841468,841558,841652,818069,820827,822517,823831,827307,831472,832070,835398,836043	86	99	12	14
152959	0.0515	2	841468,841558,841652,843903,816768,818069,822517,823831,827307,835398	91	101	10	11
50400	0.0514	2	839433,839566,837974,837996,838455,843095,844343,816545,817221,817499,817620,818343,819107,821143,820041,820741,3770591,831861,831151,832057,833471,833979,834232	63	73	23	11
17884	0.0513	2	838362,841467,842833,843110,816651,816692,829966	56	68	7	13
97317	0.0513	2	839433,838362,837778,844010,844343,816270,817499,817620,818343,819107,820041,831861,832057	72	82	13	11
139990	0.0511	1	843903,836043,835398,827307,822517,838807,841558,823831,818069,822132,820827,841468,832070,831472,835431	85	94	15	10
153782	0.051	3	839566,843095,816545,817499,820041	91	107	5	17
32289	0.0504	4	837974,843095,816545,817499,817620,821143,820041,820741	59	77	8	19
98604	0.0504	3	839433,838362,817499,817620,818343,819107,820041	72	88	7	17
150416	0.0503	4	839433,838259,843095,816545,817499,819107,831861	89	106	7	18
23225	0.0501	3	839566,837996,843095,816545,817620,821143,820741	57	75	7	19
50238	0.05	1	839566,837974,839433,833979,834232,817620,818343,832057,843095,817499,838455,821143,3770591,844343,831861,816545,831151,819107,820741,820041,833471,817221,837996,818069	63	72	24	10
152888	0.05	1	839433,843095,817499,820041,837996,839566	91	100	6	10
61681	0.05	2	838807,838851,841558,842103,843903,820827,822517,824970,827307,836043	65	78	10	14
52008	0.0499	6	839433,844010,816270,816545,817499,817620,818343,819107,820041,831861,832057	63	79	11	17
143087	0.0498	2	841468,841652,816768,818069,818822,823831,827307,831472,832070,832247,835398	86	99	11	14
108390	0.0497	12	818069,824970,826914,829995,831472,831528,832247,835398	74	104	8	31
35412	0.0494	1	839566,837974,837996,838455,843095,816545,817499,817620,818343,818731,819107,821143,820041,820741,828884,3770591,833471,834232,835355	60	70	19	11
143141	0.0494	3	841468,841558,841652,818069,820827,823831,831472,832070,835398	86	100	9	15
145348	0.0491	3	841468,841652,816768,818069,818822,823831,827307,831472,832070,832247,833471,835398	87	99	12	13
152343	0.0491	5	838250,838779,842833,844230,818316	90	108	5	19
42078	0.049	4	839433,837974,843095,816545,817499,817620,818343,821143,820041,820741	61	77	10	17
51026	0.0487	3	839433,839566,837974,843095,816545,816546,817221,817499,817620,818343,819107,821143,820041,820741,3770591,831861,831151,832057,833471,834232	63	75	20	13
