term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
141596	0.0625	AT1G50460,AT2G35040,AT3G25480,AT3G46780,AT4G16155,AT5G16150,AT5G16660,AT5G19500,AT5G53170	78	93	9	16
125416	0.0625	AT1G22020,AT2G35040,AT3G15840,AT3G25480,AT3G58010,AT4G39460,AT5G16660,AT5G53170	74	89	8	16
166835	0.0617	AT1G02560,AT1G12250,AT1G16880,AT2G17630,AT2G20260,AT2G29500,AT2G44990,AT3G08920,AT5G01500	85	102	9	18
173736	0.0617	AT1G02560,AT1G16880,AT1G67700,AT2G17630,AT2G20260,AT2G29500,AT2G44990,AT3G08920,AT5G01500	87	104	9	18
69476	0.0614	AT1G02560,AT1G03090,AT1G14150,AT1G67700,AT1G76760,AT1G80030,AT1G80380,AT2G17630,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G01440,AT3G08920,AT3G15110,AT5G01500,AT5G19370,AT5G42270	65	76	19	12
130619	0.0614	AT1G22020,AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G25480,AT3G46780,AT4G16155,AT5G53170,AT5G59250	75	93	10	19
130624	0.0614	AT1G22020,AT1G50460,AT1G51350,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT4G16155,AT5G53170,AT5G59250	75	93	10	19
142984	0.0612	AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G46780,AT4G16155,AT5G16150,AT5G19500,AT5G53170	78	100	9	23
133971	0.0611	AT2G35040,AT1G50460,AT4G39460,AT3G58010,AT1G54500,AT4G27700,AT3G46780,AT5G53170,AT4G16155,AT3G28850,AT1G75690,AT5G59250,AT1G22020,AT1G51110,AT3G15840,AT1G51350,AT3G25480,AT1G22450	76	85	18	10
126169	0.0611	AT1G22020,AT1G50460,AT2G35040,AT3G25480,AT5G53170,AT5G59250	74	93	6	20
126946	0.0611	AT1G22020,AT3G15840,AT3G25480,AT5G53170,AT5G59250	74	97	5	24
166475	0.0609	AT1G02560,AT1G12250,AT1G16880,AT1G80030,AT2G17630,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920,AT5G01500,AT5G19370	85	100	13	16
93739	0.0609	AT1G22020,AT1G50460,AT1G51350,AT3G15840,AT3G25480,AT3G28850,AT4G27700,AT5G59250	69	81	8	13
40123	0.0608	AT1G03160,AT1G14150,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G01440,AT3G15110,AT5G42270	60	76	10	17
183192	0.0606	AT1G03090,AT1G50450,AT1G54500,AT1G67840,AT1G74880,AT2G21530,AT4G19830	92	102	7	11
185824	0.0606	AT1G16790,AT1G20810,AT1G21750,AT1G54500,AT1G65260,AT1G78915,AT2G37400,AT4G39730	94	104	8	11
23044	0.0606	AT4G27700,AT2G29500,AT2G20260,AT1G03160,AT3G08920,AT1G67700,AT4G37925,AT1G80380,AT1G18730,AT3G01440,AT1G14345	57	66	11	10
162232	0.0606	AT1G03090,AT1G03160,AT1G67700,AT2G29500,AT2G30695	84	94	5	11
172943	0.0604	AT1G02560,AT1G16880,AT1G67700,AT1G80030,AT2G17630,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920,AT5G01500,AT5G19370	87	100	13	14
45097	0.0603	AT1G03160,AT1G14150,AT1G18730,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G01440,AT3G08920,AT3G15110,AT4G37925,AT5G35170,AT5G42270	61	75	14	15
168881	0.0602	AT1G22450,AT1G52220,AT2G22360,AT2G35040,AT2G42220,AT2G42975,AT3G58010,AT4G16155,AT5G16660,AT5G19500,AT5G21430,AT5G53170	86	97	12	12
40393	0.0602	AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G01440,AT3G08920,AT3G15110	60	77	8	18
38763	0.06	AT4G27700,AT2G37660,AT5G35170,AT3G08920,AT2G29500,AT2G30695,AT2G20260,AT1G03160,AT1G14150,AT1G67700,AT4G37925,AT1G18730,AT3G01440,AT3G15110,AT1G14345	60	69	15	10
188059	0.06	AT1G03160,AT2G29500,AT2G20260,AT1G67700,AT2G44990,AT1G02560,AT1G14345,AT1G16880,AT3G08920,AT5G42270	97	106	10	10
58742	0.0596	AT1G02560,AT1G67700,AT2G30695,AT2G37660,AT5G01500	63	81	5	19
181999	0.0595	AT1G02560,AT1G03160,AT1G16880,AT1G67700,AT2G17630,AT2G20260,AT2G29500,AT2G44990,AT3G08920,AT5G01500	91	104	10	14
165461	0.0593	AT1G02560,AT1G12250,AT1G16880,AT1G76760,AT1G80030,AT2G17630,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G08920,AT5G01500,AT5G08540,AT5G19370	85	96	15	12
130628	0.0592	AT1G22020,AT1G50460,AT3G15840,AT3G25480,AT3G28850,AT3G46780,AT5G19500,AT5G53170	75	93	8	19
40120	0.0588	AT1G03160,AT1G14150,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G01440,AT3G08920,AT3G15110	60	76	10	17
40121	0.0588	AT1G02560,AT1G03160,AT1G14150,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G15110,AT5G42270	60	76	10	17
40122	0.0588	AT1G03160,AT1G14150,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT2G44990,AT3G15110,AT5G42270	60	76	10	17
45658	0.0588	AT1G02560,AT1G67700,AT2G20260,AT2G29500,AT2G30695,AT2G37660,AT3G08920,AT3G15110	61	77	8	17
188902	0.0584	AT1G02560,AT1G03160,AT1G12250,AT1G14345,AT1G67700,AT2G20260,AT2G29500,AT2G44990,AT5G01500,AT5G42270,AT5G53170	98	111	11	14
165267	0.0583	AT2G17630,AT2G37660,AT5G01500,AT5G19370,AT2G20260,AT1G76760,AT1G12250,AT1G80030,AT1G03090,AT2G29500,AT2G30695,AT2G44990,AT3G08920,AT1G16880,AT5G08540,AT1G02560	85	94	16	10
142258	0.0583	AT1G22020,AT1G50460,AT1G51350,AT2G35040,AT3G15840,AT3G46780,AT4G16155,AT5G16150,AT5G19500,AT5G53170	78	97	10	20
