wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
21023	21	44	23	37	['AT4G31560', 'AT1G07510', 'AT4G20820', 'AT1G31180', 'AT3G15360', 'AT3G10130', 'AT1G23740', 'AT1G10170', 'AT4G35770', 'AT5G52970', 'AT1G50250', 'AT3G22690', 'AT4G01050', 'AT2G40760', 'AT2G27290', 'AT4G01900', 'AT5G23890', 'AT3G24590', 'AT1G17850', 'AT1G29920', 'AT4G13010', 'AT2G24020', 'AT1G15820', 'AT1G74710', 'AT1G67280', 'AT3G26580', 'AT1G66670', 'AT5G12470', 'AT1G06690', 'AT5G42765', 'AT1G15140', 'AT3G55330', 'AT1G79230', 'AT1G79450', 'AT2G43010', 'AT3G57680', 'AT4G24930']
4603	46	49	3	12	['AT1G05385', 'AT1G30510', 'AT1G79450', 'AT5G62720', 'AT3G26080', 'AT3G25480', 'AT3G15840', 'AT2G41330', 'AT4G39730', 'AT3G15360', 'AT2G37230', 'AT2G21160']
13010	13	23	10	19	['AT4G13670', 'AT3G10130', 'AT3G55330', 'AT4G31560', 'AT4G35770', 'AT1G06690', 'AT1G52220', 'AT3G10470', 'AT5G52970', 'AT4G01050', 'AT2G40760', 'AT3G57680', 'AT1G67280', 'AT3G26580', 'AT1G66670', 'AT4G01900', 'AT1G31180', 'AT1G14590', 'AT1G17850']
25010	25	35	10	70	['AT1G20810', 'AT4G13670', 'AT1G15140', 'AT2G42975', 'AT4G31560', 'AT1G07510', 'AT1G54500', 'AT1G42960', 'AT5G19500', 'AT5G42070', 'AT1G31180', 'AT1G79450', 'AT4G28025', 'AT2G43010', 'AT1G50250', 'AT3G15360', 'AT2G42220', 'AT3G10130', 'AT1G23740', 'AT1G10170', 'AT2G20270', 'AT4G35770', 'AT3G53560', 'AT3G60370', 'AT5G52970', 'AT3G58010', 'AT4G38380', 'AT3G22690', 'AT4G01050', 'AT2G40760', 'AT5G53490', 'AT2G37230', 'AT4G20820', 'AT5G21430', 'AT2G27290', 'AT1G56500', 'AT1G50460', 'AT5G23890', 'AT3G24590', 'AT1G17850', 'AT1G29920', 'AT2G35040', 'AT4G39460', 'AT1G30510', 'AT4G13010', 'AT2G24020', 'AT1G15820', 'AT2G22360', 'AT4G39730', 'AT1G74710', 'AT1G67280', 'AT3G26580', 'AT1G66670', 'AT3G26080', 'AT5G12470', 'AT4G01900', 'AT2G21160', 'AT5G42765', 'AT1G72640', 'AT1G55370', 'AT3G55330', 'AT1G79230', 'AT1G52220', 'AT4G24750', 'AT5G16150', 'AT5G16660', 'AT3G57680', 'AT1G06690', 'AT4G24930', 'AT5G03455']
20021	20	41	21	4	['AT1G20810', 'AT5G53490', 'AT2G21160', 'AT2G37230']
105	1	6	5	12	['AT2G26340', 'AT1G30510', 'AT1G79450', 'AT3G53560', 'AT5G02160', 'AT4G24750', 'AT5G53490', 'AT1G54790', 'AT4G24930', 'AT1G05385', 'AT1G03850', 'AT1G14590']
39011a	39	50	11	105	['AT2G17630', 'AT3G10470', 'AT1G07510', 'AT1G75690', 'AT4G13670', 'AT1G14150', 'AT4G39960', 'AT2G43010', 'AT2G42220', 'AT1G23740', 'AT4G16155', 'AT4G35770', 'AT1G50250', 'AT4G38380', 'AT2G40100', 'AT4G27700', 'AT4G37925', 'AT1G29920', 'AT5G19500', 'AT2G30695', 'AT4G13010', 'AT5G42765', 'AT1G15140', 'AT1G67280', 'AT4G23890', 'AT1G06690', 'AT2G30950', 'AT5G20140', 'AT2G20260', 'AT2G40760', 'AT3G46780', 'AT4G31560', 'AT4G20820', 'AT5G42070', 'AT5G39830', 'AT2G29500', 'AT2G20270', 'AT3G22690', 'AT1G17850', 'AT3G28850', 'AT4G24930', 'AT2G37660', 'AT4G18370', 'AT5G19370', 'AT1G74710', 'AT1G66670', 'AT4G01900', 'AT3G55330', 'AT1G79230', 'AT3G47060', 'AT5G13120', 'AT5G16150', 'AT5G59250', 'AT2G26800', 'AT2G01918', 'AT5G52970', 'AT1G27510', 'AT1G12250', 'AT1G54580', 'AT2G42975', 'AT3G10130', 'AT1G10170', 'AT3G60370', 'AT1G54050', 'AT4G01050', 'AT5G21430', 'AT1G80030', 'AT1G72640', 'AT3G24590', 'AT1G15820', 'AT2G22360', 'AT1G18730', 'AT3G26580', 'AT5G01500', 'AT1G14590', 'AT3G08920', 'AT1G52220', 'AT4G04020', 'AT5G16660', 'AT2G44990', 'AT3G15110', 'AT1G22450', 'AT1G16880', 'AT5G53170', 'AT1G42960', 'AT1G02560', 'AT3G58010', 'AT1G51350', 'AT4G39460', 'AT2G27290', 'AT1G50460', 'AT5G23890', 'AT2G35040', 'AT1G22020', 'AT1G67700', 'AT5G03455', 'AT5G52780', 'AT5G12470', 'AT1G55370', 'AT2G24020', 'AT1G76760', 'AT4G24750', 'AT5G15250', 'AT3G57680', 'AT3G01440']
4205	42	47	5	14	['AT1G20810', 'AT1G05385', 'AT2G37400', 'AT1G21750', 'AT3G53560', 'AT1G74070', 'AT1G16790', 'AT4G39730', 'AT1G78915', 'AT1G54790', 'AT4G38100', 'AT1G65260', 'AT2G01140', 'AT1G03850']
16026	16	42	26	4	['AT2G41330', 'AT2G40100', 'AT2G01918', 'AT2G26800']
21025	21	46	25	36	['AT4G31560', 'AT1G07510', 'AT4G20820', 'AT1G31180', 'AT3G15360', 'AT3G10130', 'AT1G23740', 'AT1G10170', 'AT4G35770', 'AT5G52970', 'AT1G50250', 'AT3G22690', 'AT4G01050', 'AT2G40760', 'AT2G27290', 'AT4G01900', 'AT5G23890', 'AT3G24590', 'AT1G17850', 'AT1G29920', 'AT4G13010', 'AT1G15820', 'AT1G74710', 'AT1G67280', 'AT3G26580', 'AT1G66670', 'AT5G12470', 'AT1G06690', 'AT5G42765', 'AT1G15140', 'AT3G55330', 'AT1G79230', 'AT2G24020', 'AT2G43010', 'AT3G57680', 'AT4G24930']
