term_id	sign_score	annotation_gene	start_time	end_time	geneSize	time_size
143333	0.0744	['AT1G50460', 'AT1G52220', 'AT2G22360', 'AT2G35040', 'AT3G46780', 'AT4G16155', 'AT5G53170']	86	101	7	16
13798	0.0744	['AT3G14420', 'AT3G08920', 'AT2G20260', 'AT1G03160', 'AT1G67700', 'AT1G80380', 'AT1G18730', 'AT3G01440', 'AT4G37925', 'AT1G72640', 'AT2G29180', 'AT3G15110', 'AT1G14345']	55	64	13	10
107812	0.0741	['AT1G50460', 'AT2G35040', 'AT3G15840', 'AT3G46780', 'AT5G53170', 'AT5G59250']	74	100	6	27
107814	0.0741	['AT1G51350', 'AT3G15840', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	74	100	7	27
151478	0.0733	['AT1G03090', 'AT1G50450', 'AT1G54500', 'AT1G67840', 'AT1G74880', 'AT2G21530', 'AT4G19830']	90	102	7	13
143334	0.0729	['AT1G50460', 'AT1G51350', 'AT1G52220', 'AT2G35040', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170']	86	101	8	16
30082	0.0727	['AT1G67840', 'AT2G21160', 'AT1G50450', 'AT1G74880', 'AT1G54500', 'AT1G78915', 'AT1G65260', 'AT1G03090', 'AT2G01140', 'AT2G21530', 'AT4G38100']	59	68	11	10
114716	0.0726	['AT1G50460', 'AT1G51350', 'AT2G35040', 'AT3G15840', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	76	100	9	25
61827	0.0722	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G28850', 'AT4G16155', 'AT5G59250']	65	79	8	15
61838	0.0722	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT3G15840', 'AT3G28850', 'AT3G58010', 'AT4G16155', 'AT5G59250']	65	79	8	15
145566	0.0718	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G30695', 'AT2G44990', 'AT3G08920']	87	102	9	16
145392	0.0714	['AT1G50460', 'AT1G52220', 'AT2G22360', 'AT2G35040', 'AT3G46780', 'AT4G16155', 'AT5G35170', 'AT5G53170']	87	100	8	14
159423	0.0714	['AT1G03090', 'AT1G16790', 'AT1G21750', 'AT1G54500', 'AT1G65260', 'AT1G78915']	95	108	6	14
32031	0.0711	['AT1G03160', 'AT1G14345', 'AT1G67700', 'AT2G20260', 'AT2G30695', 'AT3G01440', 'AT3G08920', 'AT3G15110']	59	75	8	17
101378	0.0708	['AT1G02560', 'AT1G67700', 'AT2G30695', 'AT5G19370', 'AT1G80030', 'AT1G03090', 'AT2G37660', 'AT5G01500']	73	82	8	10
97675	0.0707	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G59250']	72	83	11	12
97692	0.0707	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G59250']	72	83	11	12
114450	0.07	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170', 'AT5G59250']	76	98	12	23
105230	0.07	['AT2G29500', 'AT2G30695', 'AT3G08920', 'AT2G29180', 'AT1G27510', 'AT1G67700', 'AT5G35170', 'AT4G37925', 'AT1G03090', 'AT1G14345']	74	83	10	10
87261	0.07	['AT1G03160', 'AT1G67700', 'AT1G03090', 'AT2G29500', 'AT2G30695', 'AT5G19370', 'AT3G08920', 'AT2G37660', 'AT1G02560', 'AT5G01500']	70	79	10	10
134238	0.0697	['AT2G17630', 'AT5G01500', 'AT2G20260', 'AT3G08920', 'AT1G03090', 'AT2G29500', 'AT1G02560', 'AT1G16880', 'AT2G30695', 'AT2G37660', 'AT2G44990']	83	92	11	10
145542	0.0691	['AT1G50460', 'AT1G51350', 'AT1G52220', 'AT2G22360', 'AT2G35040', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT5G53170']	87	101	9	15
108018	0.069	['AT1G50460', 'AT1G51350', 'AT3G46780', 'AT4G16155', 'AT5G53170']	74	101	5	28
156653	0.0685	['AT1G02560', 'AT1G03160', 'AT1G14345', 'AT1G16880', 'AT1G67700', 'AT2G20260', 'AT2G29500', 'AT3G08920']	93	106	8	14
137894	0.0684	['AT1G22020', 'AT1G22450', 'AT1G51350', 'AT1G75690', 'AT2G35040', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT3G46780', 'AT4G16155', 'AT4G27700', 'AT5G53170', 'AT5G59250']	84	98	13	15
18102	0.0675	['AT1G03090', 'AT1G50450', 'AT1G65260', 'AT1G67840', 'AT2G21530', 'AT4G38100']	56	69	6	14
145848	0.0671	['AT1G02560', 'AT1G16880', 'AT1G67700', 'AT2G17630', 'AT2G20260', 'AT2G29500', 'AT2G44990', 'AT3G08920']	87	104	8	18
37058	0.0667	['AT1G02560', 'AT1G03160', 'AT1G14345', 'AT1G67700', 'AT2G20260', 'AT2G30695', 'AT2G37660', 'AT3G01440', 'AT3G15110', 'AT5G42270']	60	75	10	16
21469	0.0667	['AT1G03090', 'AT1G50450', 'AT1G54500', 'AT1G65260', 'AT1G67840', 'AT1G74880', 'AT1G78915', 'AT2G21160', 'AT2G21530', 'AT4G38100']	57	68	10	12
87276	0.0667	['AT1G17850', 'AT4G13670', 'AT2G35040', 'AT3G10470', 'AT3G60370', 'AT1G52220']	70	79	6	10
161519	0.0667	['AT2G29500', 'AT1G80380', 'AT2G20260', 'AT3G08920', 'AT1G14345', 'AT5G42270', 'AT1G02560', 'AT1G03160']	98	107	8	10
97286	0.0667	['AT3G46780', 'AT5G19500', 'AT1G50460', 'AT3G28850', 'AT4G27700', 'AT1G22020', 'AT1G51350', 'AT5G59250', 'AT3G25480', 'AT3G15840', 'AT4G16155', 'AT1G22450']	72	81	12	10
97292	0.0667	['AT4G27700', 'AT5G59250', 'AT3G28850', 'AT1G22020', 'AT1G51350', 'AT3G25480', 'AT5G19500', 'AT3G15840', 'AT1G50460', 'AT1G75690', 'AT4G16155', 'AT1G22450']	72	81	12	10
71133	0.0662	['AT1G22020', 'AT1G22450', 'AT1G50460', 'AT1G51350', 'AT1G75690', 'AT3G15840', 'AT3G25480', 'AT3G28850', 'AT4G16155', 'AT4G27700', 'AT5G19500', 'AT5G59250']	67	79	12	13
